Profile_Number,RadamBrasil_Source_Volume,Soil_Profile_Number,Latitude,Longitude,Map_Sheet ,Classification,Parent_Material,Horizon_Symbol,Horizon_sample_depth_initial,Horizon_sample_depth_final,Coarse_Gravel,Gravel,Coarse_Sand,Fine_Sand,Silt,Clay,SiO2,Al2O3,Fe2O3,pH_water_soil_1_1,pH_1N_KCl_soil_1_1,Carbon,Nitrogen,Organic_Matter,Comments,,,decimal degrees ,decimal degrees,Reference code and UTM zone,,,,cm,cm,%,%,%,%,%,%,%,%,%,,,%,%,%,No,Volume,No_Perfil,lat_dd,long_dd,Folha,Classificacao,Material_Originario,Horizonte,Inicial,Final,Calhau,Cascalho,Areia_Grossa,Areia_Fina,Silte,Argila,SiO2,Al2O3,Fe2O3,ph_H20,ph_KCl_1n,Carbon,Nitrogen,organic_matter,OK__field
357,4,6,-4.334166667,-49.79972222,SB22XA,Podzolico Vermelho-Amarelo plintico.,Granito.Proveniente da decomposicao de granitos.,B22,71,92,-999,-999,17,21,16,46,-999,-999,-999,4.9,3.9,0.25,0.03,-888
357,4,6,-4.334166667,-49.79972222,SB22XA,Podzolico Vermelho-Amarelo plintico.,Granito.Proveniente da decomposicao de granitos.,B3,92,117,-999,-999,18,20,24,38,-999,-999,-999,5.3,4,0.2,0.03,-888
357,4,6,-4.334166667,-49.79972222,SB22XA,Podzolico Vermelho-Amarelo plintico.,Granito.Proveniente da decomposicao de granitos.,C,117,140,-999,-999,20,17,22,41,-999,-999,-999,4.3,4,0.13,0.02,-888
358,4,7,-6.1725,-49.38833333,SB22ZB,Podzolico Vermelho-Amarelo cascalhento.,Proveniente da decomposicao de filitos.,A1,0,12,-999,-999,33,24,26,17,-999,-999,-999,4.5,4,1.02,0.12,-888
358,4,7,-6.1725,-49.38833333,SB22ZB,Podzolico Vermelho-Amarelo cascalhento.,Proveniente da decomposicao de filitos.,A3,12,27,-999,-999,34,21,19,26,-999,-999,-999,4.1,3.5,0.48,0.05,-888
358,4,7,-6.1725,-49.38833333,SB22ZB,Podzolico Vermelho-Amarelo cascalhento.,Proveniente da decomposicao de filitos.,B1,27,45,-999,-999,25,13,19,43,-999,-999,-999,4.5,3.6,0.49,0.06,-888
358,4,7,-6.1725,-49.38833333,SB22ZB,Podzolico Vermelho-Amarelo cascalhento.,Proveniente da decomposicao de filitos.,B21,45,64,-999,-999,18,14,22,46,-999,-999,-999,4.9,3.8,0.26,0.04,-888
358,4,7,-6.1725,-49.38833333,SB22ZB,Podzolico Vermelho-Amarelo cascalhento.,Proveniente da decomposicao de filitos.,B22,64,118,-999,-999,21,14,24,47,-999,-999,-999,5.1,3.9,0.19,0.03,-888
358,4,7,-6.1725,-49.38833333,SB22ZB,Podzolico Vermelho-Amarelo cascalhento.,Proveniente da decomposicao de filitos.,B23,118,170,-999,-999,17,15,20,48,-999,-999,-999,5,3.9,0.18,0.03,-888
358,4,7,-6.1725,-49.38833333,SB22ZB,Podzolico Vermelho-Amarelo cascalhento.,Proveniente da decomposicao de filitos.,B3,170,200,-999,-999,28,16,23,33,-999,-999,-999,5.2,4,0.14,0.02,-888
359,4,8,-5.2,-49.3725,SB22XD,Podzolico Vermelho-Amarelo cascalhento.,Provenientes da decomposicao de granitos e gnaisse.,A1,0,8,-999,-999,8,10,68,14,-999,-999,-999,4.9,4.5,1.31,0.1,-888
359,4,8,-5.2,-49.3725,SB22XD,Podzolico Vermelho-Amarelo cascalhento.,Provenientes da decomposicao de granitos e gnaisse.,A2,8,22,-999,-999,49,10,16,25,-999,-999,-999,4.7,4.2,0.54,0.08,-888
359,4,8,-5.2,-49.3725,SB22XD,Podzolico Vermelho-Amarelo cascalhento.,Provenientes da decomposicao de granitos e gnaisse.,B1,22,46,-999,-999,26,8,21,45,-999,-999,-999,5,4,0.5,0.06,-888
359,4,8,-5.2,-49.3725,SB22XD,Podzolico Vermelho-Amarelo cascalhento.,Provenientes da decomposicao de granitos e gnaisse.,B21,46,71,-999,-999,21,5,16,58,-999,-999,-999,5.5,4.1,0.36,0.04,-888
359,4,8,-5.2,-49.3725,SB22XD,Podzolico Vermelho-Amarelo cascalhento.,Provenientes da decomposicao de granitos e gnaisse.,B22,71,110,-999,-999,20,5,24,51,-999,-999,-999,5.9,4.2,0.14,0.02,-888
360,4,9,-999.999,-999.999,SC22VB,Podzolico Vermelho Amarelo Equivalente Eutrofico.,Gnaisse intermediario.,A1,0,15,-999,-999,10,12,39,39,-999,-999,-999,6.1,5.5,2.11,0.24,-888
360,4,9,-999.999,-999.999,SC22VB,Podzolico Vermelho Amarelo Equivalente Eutrofico.,Gnaisse intermediario.,A3,15,30,-999,-999,10,11,35,44,-999,-999,-999,5.9,5.2,1.23,0.12,-888
360,4,9,-999.999,-999.999,SC22VB,Podzolico Vermelho Amarelo Equivalente Eutrofico.,Gnaisse intermediario.,B11,30,50,-999,-999,6,8,29,57,-999,-999,-999,5.9,5.1,0.75,0.08,-888
360,4,9,-999.999,-999.999,SC22VB,Podzolico Vermelho Amarelo Equivalente Eutrofico.,Gnaisse intermediario.,B12,50,70,-999,-999,4,6,29,61,-999,-999,-999,6.1,5.3,0.67,0.05,-888
360,4,9,-999.999,-999.999,SC22VB,Podzolico Vermelho Amarelo Equivalente Eutrofico.,Gnaisse intermediario.,B21,70,90,-999,-999,2,4,44,50,-999,-999,-999,6.3,5.8,0.38,0.03,-888
360,4,9,-999.999,-999.999,SC22VB,Podzolico Vermelho Amarelo Equivalente Eutrofico.,Gnaisse intermediario.,B22,90,120,-999,-999,4,6,39,51,-999,-999,-999,6.3,5.9,0.35,0.03,-888
361,4,10,-999.999,-999.999,SB22XA,Podzolico Vermelho-Amarelo Equivalente Eutrofico.,Proveniente da decomposicao de granitos.,A1,0,15,-999,-999,36,20,30,14,-999,-999,-999,5,4.5,0.91,0.09,-888
361,4,10,-999.999,-999.999,SB22XA,Podzolico Vermelho-Amarelo Equivalente Eutrofico.,Proveniente da decomposicao de granitos.,A3,15,30,-999,-999,31,18,30,21,-999,-999,-999,5.1,4.4,0.59,0.07,-888
361,4,10,-999.999,-999.999,SB22XA,Podzolico Vermelho-Amarelo Equivalente Eutrofico.,Proveniente da decomposicao de granitos.,B1,30,45,-999,-999,25,11,32,32,-999,-999,-999,5.1,4.5,0.39,0.05,-888
361,4,10,-999.999,-999.999,SB22XA,Podzolico Vermelho-Amarelo Equivalente Eutrofico.,Proveniente da decomposicao de granitos.,B2,45,80,-999,-999,26,10,23,41,-999,-999,-999,5.3,4.8,0.32,0.04,-888
362,4,11,-8.353611111,-49.89194444,SC22XA,Podzolico Vermelho-Amarelo Equivalente Eutrofico textura media.,Material aloctone de granitos e gnaisses.,Ap,0,20,-999,-999,49,25,20,6,-999,-999,-999,7,6,0.66,0.05,-888
362,4,11,-8.353611111,-49.89194444,SC22XA,Podzolico Vermelho-Amarelo Equivalente Eutrofico textura media.,Material aloctone de granitos e gnaisses.,A3,20,35,-999,-999,46,23,24,7,-999,-999,-999,7,5.9,0.35,0.04,-888
362,4,11,-8.353611111,-49.89194444,SC22XA,Podzolico Vermelho-Amarelo Equivalente Eutrofico textura media.,Material aloctone de granitos e gnaisses.,B1,35,50,-999,-999,45,18,24,13,-999,-999,-999,6.9,5.7,0.39,0.04,-888
362,4,11,-8.353611111,-49.89194444,SC22XA,Podzolico Vermelho-Amarelo Equivalente Eutrofico textura media.,Material aloctone de granitos e gnaisses.,B2,50,80,-999,-999,35,22,23,20,-999,-999,-999,6.7,5.6,0.3,0.04,-888
362,4,11,-8.353611111,-49.89194444,SC22XA,Podzolico Vermelho-Amarelo Equivalente Eutrofico textura media.,Material aloctone de granitos e gnaisses.,B3,80,110,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.6,6,0.15,0.02,-888
363,4,12,-5.138333333,-48.79583333,SB22XD,Podzolico Vermelho Amarelo textura media.,Arenitos,A1,0,16,-999,-999,50,24,15,11,-999,-999,-999,5.5,5.1,0.68,0.07,-888
363,4,12,-5.138333333,-48.79583333,SB22XD,Podzolico Vermelho Amarelo textura media.,Arenitos,A3,16,26,-999,-999,41,20,16,23,-999,-999,-999,4.3,3.8,0.58,0.06,-888
363,4,12,-5.138333333,-48.79583333,SB22XD,Podzolico Vermelho Amarelo textura media.,Arenitos,B1,26,59,-999,-999,28,17,26,29,-999,-999,-999,4.4,3.9,0.37,0.04,-888
363,4,12,-5.138333333,-48.79583333,SB22XD,Podzolico Vermelho Amarelo textura media.,Arenitos,B21,59,98,-999,-999,30,15,24,31,-999,-999,-999,4.6,3.9,0.29,0.03,-888
363,4,12,-5.138333333,-48.79583333,SB22XD,Podzolico Vermelho Amarelo textura media.,Arenitos,B22,98,125,-999,-999,39,22,11,28,-999,-999,-999,4.9,4,0.22,0.02,-888
364,4,13,-999.999,-999.999,SC22XA,Podzolico Vermelho-Amarelo concrecionario plintico.,Filito-xistos.,A1,0,20,-999,-999,13,38,31,18,-999,-999,-999,5.4,-999,-999,0.06,-888
364,4,13,-999.999,-999.999,SC22XA,Podzolico Vermelho-Amarelo concrecionario plintico.,Filito-xistos.,A2,20,40,-999,-999,14,31,40,15,-999,-999,-999,5.3,-999,-999,0.04,-888
364,4,13,-999.999,-999.999,SC22XA,Podzolico Vermelho-Amarelo concrecionario plintico.,Filito-xistos.,B1,40,60,-999,-999,10,29,33,28,-999,-999,-999,5.4,-999,-999,0.03,-888
364,4,13,-999.999,-999.999,SC22XA,Podzolico Vermelho-Amarelo concrecionario plintico.,Filito-xistos.,B2,60,90,-999,-999,3,29,35,33,-999,-999,-999,5.2,-999,-999,0.03,-888
364,4,13,-999.999,-999.999,SC22XA,Podzolico Vermelho-Amarelo concrecionario plintico.,Filito-xistos.,B3,90,120,-999,-999,4,28,34,34,-999,-999,-999,5.3,-999,-999,0.03,-888
