"type","x","y","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9","wc2.1_30s_elev","pest","distriver1","distriver2","distriver3","rivtype","distlake","distshore","agpot","distblack","distclear","distwhite","npp","T_SILT","phsoil","T_GRAVEL","S_CEC_CLAY","T_PH_H2O","S_SAND","S_GRAVEL","mgs","nure","nuav","rug","nitrogen","bdod","cec","cfvo","clay","phh2o","sand","silt","soc","phos","smn30cm","smc30cm","T_C","S_C","T_OC","S_OC","AWT_S_OC","AWT_T_OC","AWC","T_CEC_CLAY","T_BULK_DEN","S_BULK_DEN"
"earthwork",-67.195,-9.7581,25.67499924,26.35000038,24.58333397,1842,274,25,57.5198288,783,114,448,173,10.53333282,72.14611053,75.75378418,32.40000153,17.79999924,14.60000229,25.98333359,24.63333321,153,211.5601933,666154.5175,677810.226,110385.0366,"white",374024.1933,958960.5393,0.066,54146.80371,161839.1805,37736.17472,1049.699951,41,4.5,0,14,4.7,29,1,11,3,3,3.875,2.922228,1.13,11.23236,6.38992,28.89496,4.34748,29.9,41.20504,26.7504,206.9999847,104,67.56800079,6.6654,5.3193,1.54,0.51,4.235805,6.07002,1,15,1.42,1.39
"earthwork",-67.213,-9.698,25.62083435,26.29999924,24.51666641,1862,281,23,58.36524963,796,110,450,172,10.65833378,72.50566864,76.37995911,32.40000153,17.70000076,14.70000076,25.93333244,24.58333397,166,212.8923033,658840.2749,681082.6978,103074.7703,"white",381298.5407,963915.4571,0.066,52143.62255,165207.6093,34902.02815,1049.699951,43,4.5,0,14,4.65,29,1,11,3,3,4.75,2.82,1.22,11.7,7.2,31.8,4.3,24.7,43.6,26.8,206.9999847,104,67.56800079,6.6654,5.3193,1.54,0.51,4.235805,6.07002,1,15,1.42,1.41
"earthwork",-67.321,-10.0736,25.48333359,26.16666603,24.38333321,1746,239,39,49.82085037,698,154,437,188,10.4333334,71.46118927,76.43573761,32.20000076,17.60000038,14.60000038,25.78333282,24.45000076,210,208.4531009,692539.5711,644379.3976,136369.6706,"white",349728.6904,921833.4762,0.094000001,88037.6948,159928.1192,32005.98394,999.7000122,41,5.2,0,13,5,37,1,11,2,3,5,2.9501824,1.216768,13.165856,5.894528,29.29696,4.766464,23.904256,46.798784,32.8616,69,104,135.826004,5.2824,4.935,1.24,0.5,4.235805,5.715,1,15,1.42,1.36
"earthwork",-67.221,-9.7849,25.66250038,26.33333397,24.56666565,1816,269,27,56.93078995,768,117,440,175,10.50833321,71.9748764,76.22112274,32.40000153,17.79999924,14.60000229,25.98333359,24.61666679,152,212.1601884,667186.923,673959.413,111470.8415,"white",373156.342,955372.7479,0.066,57990.62342,164366.4505,35457.63984,1049.699951,41,4.5,0,14,4.7,29,1,11,3,3,3.875,2.8563208,1.1663152,11.347392,5.27364,27.35272,4.368424,28.384296,44.262984,25.14212,206.9999847,104,67.56800079,6.6654,5.3193,1.54,0.51,4.235805,6.07002,1,15,1.42,1.36
"earthwork",-67.659,-10.0978,25.30416679,26.01666641,24.08333397,1644,206,55,40.4288559,614,206,482,211,10.47500038,70.30202484,83.67843628,32.09999847,17.20000076,14.89999771,25.68333244,24.14999962,201,212.0897901,681668.7494,614995.8428,125634.4757,"white",363767.9965,899581.2979,0.066,117349.192,161576.3333,16287.71396,1024.900024,41,4.5,0,14,4.7,29,1,11,2,3,5.25,2.885,1.245,17.9,5.55,25.5,4.6,38.05,36.45,34.1,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.39,-9.8731,25.55833435,26.25,24.41666603,1775,249,37,50.74967194,719,152,435,193,10.64999962,71.47650146,78.59081268,32.40000153,17.5,14.90000153,25.91666603,24.48333359,173,214.8343985,668975.3406,653596.7066,115465.1937,"white",373264.7974,936834.6596,0.066,78859.50953,181611.152,22540.13856,1049.699951,41,4.5,0,14,4.7,29,1,11,2,3,5,2.9,1.25,16.4,4,25.5,4.6,28.1,46.5,31.6,206.9999847,104,67.56800079,5.2824,4.76,1.24,0.5,4.18642,5.715,1,16,1.42,1.36
"earthwork",-67.498,-9.9638,25.39999962,26.08333397,24.23333359,1722,229,46,45.81512451,671,178,432,202,10.5666666,70.91722107,80.36846161,32.20000076,17.29999924,14.90000153,25.75,24.29999924,193,213.1580582,673690.3873,638112.02,120078.5267,"white",369148.8714,921921.6832,0.066,94304.5665,173448.4919,15457.41984,1049.699951,41,4.5,0,14,4.7,29,1,11,2,3,5.125,3.12,1.23,14.6,5.9,29.6,4.9,26.3,44,34.6,206.9999847,104,67.56800079,5.22,4.76,1.22,0.5,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.697,-10.2716,25.28750038,26.03333282,24.04999924,1672,214,53,42.30635834,630,199,498,203,10.4416666,70.55180359,85.76195526,32,17.20000076,14.79999924,25.68333244,24.10000038,214,203.5851805,698648.0009,598849.4232,134409.9708,"white",349034.7965,881221.4769,0.066,132784.4158,143878.6586,13608.67685,1024.900024,41,5.2,0,13,5,37,1,11,2,3,5.375,2.77,1.25,14.5,2.9,21.7,4.7,49.9,28.4,27.4,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.699,-10.26,25.28750038,26.03333282,24.04999924,1674,214,54,42.1144371,630,199,498,205,10.4416666,70.55180359,85.76195526,32,17.20000076,14.79999924,25.68333244,24.10000038,213,204.277337,697955.7382,599324.4993,135119.5593,"white",349677.9028,881809.1732,0.066,132311.355,144576.2327,13323.12466,1024.900024,41,5.2,0,13,5,37,1,11,2,3,5.375,2.82,1.24,14.7,3.1,20.7,4.7,52.3,27,29.2,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.38,-9.8844,25.60833359,26.28333282,24.46666718,1766,248,37,50.93699646,715,149,436,189,10.5666666,71.39639282,78.33010864,32.40000153,17.60000038,14.80000114,25.96666718,24.53333282,160,214.2600232,670522.9247,653544.5584,116896.6931,"white",371709.7494,936425.6768,0.066,78681.5116,180452,23780.03727,1049.699951,41,4.5,0,14,4.7,29,1,11,2,3,5,3.01,1.25,15.2,3.5,26.5,4.7,30.1,43.3,29.9,206.9999847,104,67.56800079,5.2824,4.76,1.24,0.5,4.2111125,5.715,1,16,1.42,1.36
